cod;codPostal;nomCalle
625;01013;ARTAPADURA
626;01013;AZEDUYA
627;01013;BARRATXI
628;01013;BERGARA, DE,Portal
629;01013;BERNAL DIAZ DE LUCO
630;01013;CANTABRICO, DEL,Avenida
631;01013;CONCEJO
632;01013;COOPERATIVA,Plaza
633;01013;CRISTO, EL
634;01013;CUADRILLA AÑANA
635;01013;CUADRILLA DE AYALA
636;01013;CUADRILLA DE LAGUARDIA
637;01013;CUADRILLA DE VITORIA
638;01013;CUADRILLA DE ZUYA
639;01013;CUADRILLA LLODIO
640;01013;CUADRILLA MENDOZA
641;01013;CUADRILLA SALVATIERRA
642;01013;CUATRO CAMINOS
643;01013;CUENCA DEL DEVA
644;01013;DIEGO DE ROJAS
645;01013;EIBAR
646;01013;ELGOIBAR
647;01013;ESCALMENDI
648;01013;ESCORIAZA
649;01013;FERMIN LASUEN
650;01013;GAMARRA,Carretera
651;01013;GAMARRA, DE,Portal
652;01013;HARROBI
653;01013;IGLESIA, LA
654;01013;ITURRIZABALA
655;01013;KAPELAMENDI
656;01013;LARRAGANA
657;01013;LORENZO PRESTAMERO
658;01013;MARTIN OLAVE
659;01013;MARTIN SALINAS,Plaza (Impares del 1 al final)
660;01013;MAYOR DE ABECHUCO,Plaza
661;01013;MENDARO
662;01013;MIRADOR
663;01013;MIRAVALLES
664;01013;MONDRAGON
665;01013;NOGALES, LOS
666;01013;OLMOS, LOS
667;01013;OÑATE
668;01013;OSINAGUEA
669;01013;PARQUE MOLINONUEVO
670;01013;PEÑA, LA
671;01013;PORTAL DE ARRIAGA   (Pares del 16 al final)
672;01013;PORTAL DE BETOÑO   (Impares del 1 al final)  (Pares del 10 al final)
673;01013;PORTAL DE VILLARREAL   (Impares del 19 al final)
674;01013;POZALDEA
675;01013;POZOA
676;01013;PRESA, LA
677;01013;PUERTO ALTUBE
678;01013;PUERTO ARLABAN
679;01013;PUERTO AZACETA
680;01013;PUERTO BARAZAR
681;01013;PUERTO ECHEGARATE
682;01013;PUERTO HERRERA
683;01013;PUERTO URKIOLA
684;01013;PUERTOS,Senda
685;01013;REYES CATOLICOS   (Impares del 1 al 15)
686;01013;REYES DE NAVARRA   (Impares del 3 al final)  (Pares del 16 al final)
687;01013;RIBERA, LA
688;01013;RIO DE SANTO TOMAS,Plaza
689;01013;SALVATIERRA
690;01013;SANTA ISABEL
691;01013;SANTO TOMAS,Canal
692;01013;SORALUCE
693;01013;TILOS, LOS
694;01013;TRES DE MARZO,Plaza
695;01013;TXARRAKEA
